"magazine_id","State","sample_issue_date","sample_period_end_date","num_mail_subscriptions","num_single_copy_sales"
"1","Michigan","1928-01-01","1928-06-30",,"4857"
"1","Michigan","1928-10-01","1928-12-31","10","4414"
"1","Michigan","1929-02-01","1929-06-30","10","5272"
"1","Michigan","1929-11-01","1929-12-31","13","7532"
"1","Michigan","1930-08-01","1930-12-31","13","5118"
"1","Michigan","1930-10-01","1930-06-30","10","6898"
"1","Michigan","1931-04-01","1931-06-30","9","3489"
"7","Michigan","1925-11-28","1925-12-31","25",
"7","Michigan","1930-11-08","1930-12-31","1022","1378"
"7","Michigan","1935-11-16","1935-12-31","1481","1662"
"7","Michigan","1940-03-16","1940-06-30","2566","1579"
"1","Minnesota","1928-01-01","1928-06-30",,"2815"
"1","Minnesota","1928-10-01","1928-12-31","7","1731"
"1","Minnesota","1929-02-01","1929-06-30","8","2047"
"1","Minnesota","1929-11-01","1929-12-31","7","2265"
"1","Minnesota","1930-08-01","1930-12-31","7","1767"
"1","Minnesota","1930-10-01","1930-06-30","4","2132"
"1","Minnesota","1931-04-01","1931-06-30","5","1265"
"7","Minnesota","1925-11-28","1925-12-31","9",
"7","Minnesota","1930-11-08","1930-12-31","517","471"
"7","Minnesota","1935-11-16","1935-12-31","757","594"
"7","Minnesota","1940-03-16","1940-06-30","1181","530"
"1","Mississippi","1928-01-01","1928-06-30",,"243"
"1","Mississippi","1928-10-01","1928-12-31","3","492"
"1","Mississippi","1929-02-01","1929-06-30","1","580"
"1","Mississippi","1929-11-01","1929-12-31","1","642"
"1","Mississippi","1930-08-01","1930-12-31","1","461"
"1","Mississippi","1930-10-01","1930-06-30","1","546"
"1","Mississippi","1931-04-01","1931-06-30","2","299"
"7","Mississippi","1925-11-28","1925-12-31","2",
"7","Mississippi","1930-11-08","1930-12-31","48","66"
"7","Mississippi","1935-11-16","1935-12-31","46","59"
"7","Mississippi","1940-03-16","1940-06-30","109","68"
"1","Missouri","1928-01-01","1928-06-30",,"5005"
"1","Missouri","1928-10-01","1928-12-31","10","2804"
"1","Missouri","1929-02-01","1929-06-30","10","3250"
"1","Missouri","1929-11-01","1929-12-31","13","3445"
"1","Missouri","1930-08-01","1930-12-31","19","2758"
"1","Missouri","1930-10-01","1930-06-30","14","3308"
"1","Missouri","1931-04-01","1931-06-30","17","2132"
"7","Missouri","1925-11-28","1925-12-31","10",
"7","Missouri","1930-11-08","1930-12-31","626","616"
"7","Missouri","1935-11-16","1935-12-31","958","754"
"7","Missouri","1940-03-16","1940-06-30","1417","675"
"1","Montana","1928-01-01","1928-06-30",,"358"
"1","Montana","1928-10-01","1928-12-31","3","372"
"1","Montana","1929-02-01","1929-06-30","5","432"
"1","Montana","1929-11-01","1929-12-31","3","446"
"1","Montana","1930-08-01","1930-12-31","3","329"
"1","Montana","1930-10-01","1930-06-30","3","465"
"1","Montana","1931-04-01","1931-06-30",,"253"
"7","Montana","1925-11-28","1925-12-31","2",
"7","Montana","1930-11-08","1930-12-31","50","60"
"7","Montana","1935-11-16","1935-12-31","106","99"
"7","Montana","1940-03-16","1940-06-30","169","67"
"1","Nebraska","1928-01-01","1928-06-30",,"1738"
"1","Nebraska","1928-10-01","1928-12-31","4","861"
"1","Nebraska","1929-02-01","1929-06-30","4","1123"
"1","Nebraska","1929-11-01","1929-12-31","5","1390"
"1","Nebraska","1930-08-01","1930-12-31","8","902"
"1","Nebraska","1930-10-01","1930-06-30","3","1214"
"1","Nebraska","1931-04-01","1931-06-30","8","649"
"7","Nebraska","1925-11-28","1925-12-31","3",
"7","Nebraska","1930-11-08","1930-12-31","139","102"
"7","Nebraska","1935-11-16","1935-12-31","181","153"
"7","Nebraska","1940-03-16","1940-06-30","295","159"
"1","Nevada","1928-01-01","1928-06-30",,"322"
"1","Nevada","1928-10-01","1928-12-31",,"98"
"1","Nevada","1929-02-01","1929-06-30","1","116"
"1","Nevada","1929-11-01","1929-12-31","1","163"
"1","Nevada","1930-08-01","1930-12-31","1","146"
"1","Nevada","1930-10-01","1930-06-30","1","163"
"1","Nevada","1931-04-01","1931-06-30","1","99"
"7","Nevada","1925-11-28","1925-12-31","1",
"7","Nevada","1930-11-08","1930-12-31","25","35"
"7","Nevada","1935-11-16","1935-12-31","36","53"
"7","Nevada","1940-03-16","1940-06-30","50","35"
"1","New Hampshire","1928-01-01","1928-06-30",,"226"
"1","New Hampshire","1928-10-01","1928-12-31","2","314"
"1","New Hampshire","1929-02-01","1929-06-30","2","298"
"1","New Hampshire","1929-11-01","1929-12-31","3","360"
"1","New Hampshire","1930-08-01","1930-12-31","4","28"
"1","New Hampshire","1930-10-01","1930-06-30","4","357"
"1","New Hampshire","1931-04-01","1931-06-30","4","176"
"7","New Hampshire","1925-11-28","1925-12-31","5",
"7","New Hampshire","1930-11-08","1930-12-31","142","112"
"7","New Hampshire","1935-11-16","1935-12-31","303","171"
"7","New Hampshire","1940-03-16","1940-06-30","471","135"
"1","New Jersey","1928-01-01","1928-06-30",,"3605"
"1","New Jersey","1928-10-01","1928-12-31","20","4253"
"1","New Jersey","1929-02-01","1929-06-30","17","4830"
"1","New Jersey","1929-11-01","1929-12-31","13","5004"
"1","New Jersey","1930-08-01","1930-12-31","16","5196"
"1","New Jersey","1930-10-01","1930-06-30","9","4743"
"1","New Jersey","1931-04-01","1931-06-30","15","3293"
"7","New Jersey","1925-11-28","1925-12-31","1120",
"7","New Jersey","1930-11-08","1930-12-31","2706","3329"
"7","New Jersey","1935-11-16","1935-12-31","4310","3099"
"7","New Jersey","1940-03-16","1940-06-30","5356","2535"
"1","New Mexico","1928-01-01","1928-06-30",,"80"
"1","New Mexico","1928-10-01","1928-12-31",,"127"
"1","New Mexico","1929-02-01","1929-06-30",,"106"
"1","New Mexico","1929-11-01","1929-12-31",,"304"
"1","New Mexico","1930-08-01","1930-12-31",,"212"
"1","New Mexico","1930-10-01","1930-06-30",,"260"
"1","New Mexico","1931-04-01","1931-06-30","1","166"
"7","New Mexico","1930-11-08","1930-12-31","61","57"
"7","New Mexico","1935-11-16","1935-12-31","105","79"
"7","New Mexico","1940-03-16","1940-06-30","165","81"
"1","New York","1928-01-01","1928-06-30",,"15315"
"1","New York","1928-10-01","1928-12-31","40","16526"
"1","New York","1929-02-01","1929-06-30","48","18607"
"1","New York","1929-11-01","1929-12-31","61","19243"
"1","New York","1930-08-01","1930-12-31","53","16091"
"1","New York","1930-10-01","1930-06-30","43","17908"
"1","New York","1931-04-01","1931-06-30","55","12246"
"7","New York","1925-11-28","1925-12-31","6199",
"7","New York","1930-11-08","1930-12-31","19193","38072"
"7","New York","1935-11-16","1935-12-31","24201","32128"
"7","New York","1940-03-16","1940-06-30","28911","23493"
"1","North Carolina","1928-01-01","1928-06-30",,"257"
"1","North Carolina","1928-10-01","1928-12-31","1","780"
"1","North Carolina","1929-02-01","1929-06-30","1","880"
"1","North Carolina","1929-11-01","1929-12-31","2","981"
"1","North Carolina","1930-08-01","1930-12-31","3","686"
"1","North Carolina","1930-10-01","1930-06-30","2","901"
"1","North Carolina","1931-04-01","1931-06-30","1","455"
"7","North Carolina","1925-11-28","1925-12-31","3",
"7","North Carolina","1930-11-08","1930-12-31","162","176"
"7","North Carolina","1935-11-16","1935-12-31","419","366"
"7","North Carolina","1940-03-16","1940-06-30","675","396"
"1","North Dakota","1928-01-01","1928-06-30",,"240"
"1","North Dakota","1928-10-01","1928-12-31","3","206"
"1","North Dakota","1929-02-01","1929-06-30","4","406"
"1","North Dakota","1929-11-01","1929-12-31","3","427"
"1","North Dakota","1930-08-01","1930-12-31","1","256"
"1","North Dakota","1930-10-01","1930-06-30","2","431"
"1","North Dakota","1931-04-01","1931-06-30","1","198"
"7","North Dakota","1925-11-28","1925-12-31","1",
"7","North Dakota","1930-11-08","1930-12-31","24","15"
"7","North Dakota","1935-11-16","1935-12-31","52","36"
"7","North Dakota","1940-03-16","1940-06-30","57","24"
"1","Ohio","1928-01-01","1928-06-30",,"5657"
"1","Ohio","1928-10-01","1928-12-31","19","6174"
"1","Ohio","1929-02-01","1929-06-30","24","7191"
"1","Ohio","1929-11-01","1929-12-31","28","8568"
"1","Ohio","1930-08-01","1930-12-31","33","6290"
"1","Ohio","1930-10-01","1930-06-30","21","8186"
"1","Ohio","1931-04-01","1931-06-30","19","4468"
"7","Ohio","1925-11-28","1925-12-31","44",
"7","Ohio","1930-11-08","1930-12-31","1456","2102"
"7","Ohio","1935-11-16","1935-12-31","2266","2109"
"7","Ohio","1940-03-16","1940-06-30","3560","1981"
"1","Oklahoma","1928-01-01","1928-06-30",,"805"
"1","Oklahoma","1928-10-01","1928-12-31",,"1208"
"1","Oklahoma","1929-02-01","1929-06-30",,"1487"
"1","Oklahoma","1929-11-01","1929-12-31","1","1496"
"1","Oklahoma","1930-08-01","1930-12-31","2","1156"
"1","Oklahoma","1930-10-01","1930-06-30",,"1413"
"1","Oklahoma","1931-04-01","1931-06-30","2","819"
"7","Oklahoma","1925-11-28","1925-12-31","2",
"7","Oklahoma","1930-11-08","1930-12-31","147","217"
"7","Oklahoma","1935-11-16","1935-12-31","221","179"
"7","Oklahoma","1940-03-16","1940-06-30","312","148"
"1","Oregon","1928-01-01","1928-06-30",,"1931"
"1","Oregon","1928-10-01","1928-12-31","2","977"
"1","Oregon","1929-02-01","1929-06-30","5","1080"
"1","Oregon","1929-11-01","1929-12-31","5","973"
"1","Oregon","1930-08-01","1930-12-31","6","834"
"1","Oregon","1930-10-01","1930-06-30","5","909"
"1","Oregon","1931-04-01","1931-06-30","3","594"
"7","Oregon","1925-11-28","1925-12-31","2",
"7","Oregon","1930-11-08","1930-12-31","246","183"
"7","Oregon","1935-11-16","1935-12-31","309","286"
